time,q1,q2,q3,q4,q5,q6,q7,tau_measured_1,tau_measured_2,tau_measured_3,tau_measured_4,tau_measured_5,tau_measured_6,tau_measured_7,tau_g_urdf_1,tau_g_urdf_2,tau_g_urdf_3,tau_g_urdf_4,tau_g_urdf_5,tau_g_urdf_6,tau_g_urdf_7,tau_error_1,tau_error_2,tau_error_3,tau_error_4,tau_error_5,tau_error_6,tau_error_7
0.00158326400196529,0.31824333580864606,0.31941270640748226,-0.4122118627360208,1.211799552952183,0.440468743325809,-0.1155757030670645,0.7680495906326247,0.28354364973279234,4.865530913901235,0.07986210985792912,1.2382063790862705,0.043929739175273506,0.09137385748456889,0.0,-2.693067767079187e-16,3.8744406133408273,0.22769291716054427,1.9619082334824651,-0.0076010012352695205,0.00041740362348375795,-4.5557454316188054e-10,0.2835436497327926,0.9910903005604079,-0.14783080730261516,-0.7237018543961946,0.05153074041054303,0.09095645386108513,4.5557454316188054e-10
0.5020356480017654,0.31824333580864606,0.31941270640748226,-0.4122118627360208,1.211799552952183,0.440468743325809,-0.1155757030670645,0.7680495906326247,0.2268349197862339,4.870259321009011,0.07145557197814711,1.250798308365114,0.03865817047424068,0.07028758268043761,-0.06712245861563529,-2.693067767079187e-16,3.8744406133408273,0.22769291716054427,1.9619082334824651,-0.0076010012352695205,0.00041740362348375795,-4.5557454316188054e-10,0.22683491978623418,0.9958187076681839,-0.15623734518239715,-0.7111099251173512,0.0462591717095102,0.06987017905695385,-0.06712245816006075
1.0026283520019206,0.31812116276100644,0.3192556267748028,-0.41256092858641963,1.211799552952183,0.4404861966183289,-0.1155757030670645,0.7680495906326247,-0.1559490073530358,4.293393653860371,-0.5422216932459398,1.259192927884343,0.03690098090722974,0.0825879096495142,0.0032742662739334285,-3.540085116171732e-18,3.8732137350008546,0.22777123720647424,1.9618707206783257,-0.0076012908157416775,0.00041799373041554453,-4.558754105618719e-10,-0.1559490073530358,0.42017991885951655,-0.769992930452414,-0.7026777927939827,0.04450227172297142,0.08216991591909865,0.0032742667298088393
1.503257152002334,0.31789426995824716,0.31815606934604634,-0.4133288734572972,1.211782099659663,0.4404861966183289,-0.1155757030670645,0.7680495906326247,-5.009271145279332,-2.321647889917888,-3.829178004240707,1.3389418133170181,0.07380196181445949,0.07555915138147043,-0.019645597643600573,-1.4750701582055095e-16,3.86577599305676,0.22742048666196724,1.9617547922310055,-0.007597830032676209,0.0004217722808158304,-4.5771985472446073e-10,-5.009271145279332,-6.187423882974648,-4.056598490902674,-0.6228129789139873,0.0813997918471357,0.0751373791006546,-0.019645597185880718
2.0037109760014573,0.3187669345842443,0.3199363051830805,-0.4109901322596248,1.2116948331970632,0.4403989301557292,-0.1155757030670645,0.7680495906326247,-1.8666623607408832,-0.5012111534242283,-1.3660624054645771,1.1332736350959087,-0.01932908523712034,0.07731634094848136,-0.04911399410900143,7.704202545638453e-18,3.87856386730734,0.2273897477606751,1.9620231483902577,-0.007599906355407563,0.0004157547179329659,-4.5472941405901026e-10,-1.8666623607408832,-4.379775020731568,-1.5934521532252521,-0.828749513294349,-0.011729178881712777,0.07690058623054839,-0.04911399365427201
2.503875488000631,0.3186796681216446,0.3208438763941176,-0.41085050591946515,1.2119915391699025,0.4403989301557292,-0.1155757030670645,0.7680495906326247,3.2891063369003914,4.889172949440114,3.0305569056614154,1.0073543423074744,-0.11070294272168923,0.08434509921652512,-0.10150225449193628,2.448340560061848e-16,3.884365681799191,0.2279642247878915,1.9621121031852562,-0.007604975861606293,0.00041182390558123025,-4.528330223963903e-10,3.289106336900391,1.0048072676409232,2.802592680873524,-0.9547577608777817,-0.10309796686008293,0.0839332753109439,-0.10150225403910326
3.004350464001618,0.31778955020312755,0.319185813604723,-0.4132939668722572,1.2128642037958997,0.440433836740769,-0.1155757030670645,0.7680495906326247,-0.9073396791449356,8.818479256001753,-0.34887132201095356,5.611803148604555,-0.17747614626810496,0.09313104705157982,-0.06712245861563529,-4.656318432030254e-16,3.872311052214599,0.2282096893297408,1.961955766828331,-0.007605236121958554,0.00041490900050472867,-4.5438679086690755e-10,-0.9073396791449352,4.946168203787154,-0.5770810113406943,3.6498473817762243,-0.16987091014614641,0.09271613805107509,-0.0671224581612485
3.504889888001344,0.318574948366525,0.31827824239368596,-0.4113566514025435,1.2101240368702686,0.4403989301557292,-0.1155757030670645,0.7680495906326247,0.2032062823085012,-0.1560374345565994,0.655709954622997,-0.26023320509609754,-0.09137385748456889,0.08083072008250325,0.03274266273933429,-1.8512731693151134e-16,3.8678311450230414,0.22630622038160889,1.9616905276736263,-0.007590711626016727,0.00042626221803232256,-4.598649776905077e-10,0.2032062823085014,-4.0238685795796405,0.4294037342413881,-2.221923732769724,-0.08378314585855216,0.08040445786447092,0.032742663199199266
4.005521760002011,0.31824333580864606,0.32073915663899794,-0.41245620883129996,1.2127594840407798,0.440468743325809,-0.1155757030670645,0.7680495906326247,0.8175508567295514,6.553572251377176,0.9163126288962394,2.0105113748553345,-0.07204477224744855,0.07380196181445949,-0.11296218645070329,2.55991789493539e-16,3.8826320798378826,0.2288233551886065,1.9620722796025012,-0.007610586621231026,0.00041005589205972545,-4.5203135800100757e-10,0.8175508567295512,2.6709401715392933,0.6874892737076329,0.0484390952528333,-0.06443418562621753,0.07339190592239976,-0.11296218599867193
4.506082944000809,0.3180862561759666,0.318574948366525,-0.41214204956594097,1.2115901134419436,0.4405560097884087,-0.1155757030670645,0.7680495906326247,-1.034934321524692,2.993081699222043,-0.2942288257923705,2.1951930042783716,0.024600653938153163,0.09137385748456889,-0.10477652076586971,2.959760987337955e-16,3.869217897306217,0.2270605253470214,1.9618501912714583,-0.007594125405915386,0.0004208403943257767,-4.571946897327893e-10,-1.0349343215246922,-0.8761361980841738,-0.5212893511393919,0.23334281300691329,0.03219477934406855,0.09095301709024312,-0.10477652030867503
